episode_number,total_reward,collisions,trajectory_distance,goal_distance
1,172.55507040023804,67,18.191771642201104,16.320300156133154
2,-64.38699269294739,75,11.300880791232329,21.526427130398872
3,-138.48177528381348,77,9.96317235245183,22.4785274572183
4,-136.6448905467987,87,13.678383326704708,20.052927293462094
5,445.2707767486572,40,25.50716021503909,13.142850730926643
6,-197.8449149131775,82,9.993569257746088,23.04435131351037
7,383.20580184459686,4,23.929776527996292,34.00201882669832
8,189.77876353263855,72,21.62334216505298,13.960012816386035
9,-464.73831248283386,99,7.52698407948603,26.63433617944877
10,-297.04028820991516,79,17.746274941160472,27.631929950456577
11,-428.69299578666687,98,5.9364347929506724,25.78304964611636
12,-361.14770102500916,91,12.253444400188071,25.61631597388616
13,-200.53913521766663,72,6.133019017258635,26.341174866376655
14,481.31842827796936,0,16.90195752501487,29.179931067119345
15,826.4556939601898,0,23.22681051426575,9.771356223341451
16,220.70227953791618,71,21.18387267527665,11.453203548444376
17,174.1034460067749,57,16.184563073957786,19.484698929728985
18,309.0473952293396,63,22.06866371976157,10.64605987062361
19,-139.4354190826416,84,12.123547890838315,20.46811128580695
20,58.48579978942871,47,8.047254870968796,25.529604171043395
21,103.20262122154236,61,26.759498993013178,19.572178534551735
22,825.0170743465424,0,22.59145440263125,9.785379127167797
23,93.35890984535217,62,12.663337795145226,19.9043570166387
24,-313.20110392570496,86,6.170653368021895,25.63445057719803
25,613.5870479345322,29,33.38773631238568,12.251367080604926
26,408.6831868290901,38,22.48780049742704,12.542186339599228
27,14.39076828956604,63,12.54164162337764,21.583163470292128
28,-148.03233528137207,68,6.077889270586027,25.919359786711414
29,316.57915192842484,57,20.000909898658193,12.365689428834388
30,259.4739875793457,48,52.721646824351424,18.141902435442386
31,638.7105448246002,19,26.050021854141868,10.257904870443147
32,-265.75026059150696,81,8.927122116882511,24.8421475138506
33,183.85581994056702,67,21.042395257038923,14.174052265243628
34,282.9726541042328,49,19.52506154600479,13.320971105464878
35,176.84337854385376,46,52.446521676018115,19.103102197261375
36,-390.2149908542633,94,5.967812333747261,25.686354103477836
37,-99.48259711265564,72,10.468322751658276,23.403552996266573
38,-34.40418243408203,76,14.832294883891144,19.143636692012652
39,-127.42138481140137,79,38.43848390495001,22.590855309593326
40,238.75353360176086,47,18.08826400160417,16.824648224478473
41,-162.84344124794006,75,11.027250102475316,24.016133357192395
42,898.3845081329346,0,22.357869791482212,9.77853612253738
43,-317.6110038757324,86,48.49110280385974,25.800990706966395
44,-114.02148365974426,76,10.45603484926696,22.064889229872975
45,175.77442955970764,54,14.86876983630488,18.224666055159364
46,927.126874923706,0,21.982082635204442,9.90486908318703
47,294.4623138308525,59,64.21072068093461,12.104242552101834
48,-160.4555742740631,87,12.242028234792324,20.33366889213353
49,257.74310234189034,70,21.12911067010726,10.942903978375623
50,912.7320897579193,4,23.08148973238158,9.720498175385385
51,484.7488413453102,41,24.36972108817415,11.649606065673083
52,-96.69512152671814,81,12.735899020762217,19.597316021212045
53,893.0799968242645,0,24.197187930098433,9.99220292872526
54,-15.18557596206665,64,10.497686851355985,22.57216138166597
55,497.9542541503906,42,23.041793084953337,11.70297810209149
56,963.2254657745361,0,63.35573446104181,9.751317980456305
57,-43.3027184009552,89,15.843297544438524,16.597362598631165
58,-145.73845076560974,86,41.94028189235647,20.280829390240463
59,-440.430695772171,99,6.070943925639713,25.7609388369674
60,893.3682174682617,0,21.5933546283071,9.939462993873578
61,982.4469270706177,0,22.148988577126495,9.301308038630268
62,345.97253131866455,31,15.125667852924547,19.640922290760574
63,197.9143407344818,56,17.89609726643113,16.65712878710972
64,-342.02458119392395,87,6.06008803686434,26.239696445840114
65,895.1299498081207,0,23.570280753582527,9.83713783171433
66,-171.2894249483943,26,26.273875950299864,43.27732967854762
67,74.73044443130493,65,14.686985501324656,20.35190397568242
68,-32.59059190750122,67,11.702844950073816,21.51190729574582
69,143.8727343082428,50,11.186369610527754,21.25870176751743
70,-207.7254045009613,75,28.609489053180642,25.51969135781753
71,386.6658310890198,29,15.89282539029236,18.810880376758327
72,232.72123050689697,56,16.3063029743976,16.272256562044284
73,805.3402337655425,4,22.998194511705005,10.293183031066869
74,59.39598906040192,79,16.911631542419737,15.795544978176215
75,467.3713651895523,36,22.138087739031285,14.423365220058948
76,-25.00907301902771,82,15.788393220841696,17.16835788897631
77,1040.5165901184082,0,21.08835036012668,9.951619595908685
78,239.42234130948782,80,65.9936161893093,10.381799387354855
79,383.9730715751648,32,65.61787844461519,10.630595623660648
80,-199.73285675048828,73,8.114964279296775,26.293700854142752
81,81.81895160675049,57,12.922388128670628,21.41146435900337
82,805.4475247859955,0,26.038322093581552,9.978464714896665
83,226.99903202056885,44,14.724020770637493,20.132692707412758
84,-225.25015330314636,75,5.905155539120835,26.007661820564888
85,905.8453755378723,0,32.70236032075947,9.678964492658757
86,310.8763225078583,16,22.138195199805963,32.49937798675945
87,869.5619657039642,0,60.70990219313918,9.046028480591556
88,98.99470567703247,65,15.600287448988608,19.48344300232497
89,245.0519242286682,61,47.581115946101264,12.367655537138731
90,-46.52461574267363,26,24.56953235176524,41.1108367132386
91,84.9206280708313,56,11.685915520517224,20.795018055293934
92,243.00262027978897,58,21.207927982733363,12.364526689417525
93,-180.41355156898499,73,6.0115494234943485,25.551723979126017
94,18.378889560699463,63,10.526960541737417,22.23189077632702
95,365.53285229206085,0,23.133229659809672,37.94478138045292
96,-86.53826355934143,69,11.14009765263093,23.482365691952857
97,-256.82888412475586,83,9.590756402915757,24.219203795341926
98,368.1169932484627,53,25.754698039329856,11.246470106662994
99,-172.6689431667328,65,60.23408443165915,27.97367868197581
100,987.061642408371,0,49.299800006299634,9.708841191338886
