episode_number,timestep,waypoint_x,waypoint_y,car_pos_x,car_pos_y
1,1,30,0,-0.00023162840807344764,8.789062121650204e-05
1,2,30,0,-0.00022979735513217747,7.690429629292339e-05
1,3,30,0,-0.0002247619559057057,7.446289237122983e-05
1,4,30,0,0.06140121445059776,-0.03486328199505806
1,5,30,0,0.22739608585834503,-0.12740477919578552
1,6,30,0,0.4177934229373932,-0.2648645043373108
1,7,30,0,0.6860635280609131,-0.46797239780426025
1,8,30,0,1.0064727067947388,-0.7511681914329529
1,9,30,0,1.4328182935714722,-1.2327929735183716
1,10,30,0,1.7332546710968018,-1.725551724433899
1,11,30,0,2.0133447647094727,-2.420628547668457
1,12,30,0,2.148740530014038,-3.045241594314575
1,13,30,0,2.1753172874450684,-3.3802478313446045
1,14,30,0,2.1684277057647705,-3.5132031440734863
1,15,30,0,2.1515605449676514,-3.585878849029541
1,16,30,0,2.0914525985717773,-3.831085205078125
1,17,30,0,2.020308494567871,-4.025136470794678
1,18,30,0,1.9427083730697632,-4.231645584106445
1,19,30,0,1.900226354598999,-4.333510875701904
1,20,30,0,1.9004409313201904,-4.33411979675293
1,21,30,0,1.8998342752456665,-4.334712028503418
1,22,30,0,1.899499773979187,-4.334975719451904
1,23,30,0,1.8993178606033325,-4.335080623626709
1,24,30,0,1.8723315000534058,-4.372360706329346
1,25,30,0,1.7748510837554932,-4.492475509643555
1,26,30,0,1.6891528367996216,-4.597784519195557
1,27,30,0,1.5671554803848267,-4.761801719665527
1,28,30,0,1.4001895189285278,-4.972220420837402
1,29,30,0,1.2936571836471558,-5.07371711730957
1,30,30,0,1.0649960041046143,-5.261160850524902
1,31,30,0,0.8146400451660156,-5.422616004943848
1,32,30,0,0.5888090133666992,-5.557231426239014
1,33,30,0,-0.018176421523094177,-5.849782466888428
1,34,30,0,-0.6687095761299133,-6.039794921875
1,35,30,0,-1.3681648969650269,-6.099265098571777
1,36,30,0,-1.9984569549560547,-6.039514064788818
1,37,30,0,-3.09928035736084,-5.726420879364014
1,38,30,0,-3.6455461978912354,-5.45562744140625
1,39,30,0,-3.8939390182495117,-5.269863128662109
1,40,30,0,-3.931042432785034,-5.234665393829346
1,41,30,0,-3.990924596786499,-5.155679702758789
1,42,30,0,-4.1612982749938965,-4.948259353637695
1,43,30,0,-4.316533088684082,-4.720010757446289
1,44,30,0,-4.475198745727539,-4.382250785827637
1,45,30,0,-4.6254496574401855,-3.986168146133423
1,46,30,0,-4.72934103012085,-3.607546329498291
1,47,30,0,-4.780061721801758,-3.2238426208496094
1,48,30,0,-4.780486106872559,-2.848442316055298
1,49,30,0,-4.753417015075684,-2.5158374309539795
1,50,30,0,-4.692696571350098,-2.129833936691284
1,51,30,0,-4.5673394203186035,-1.6270885467529297
1,52,30,0,-4.373525142669678,-1.1790026426315308
1,53,30,0,-4.11558198928833,-0.7734057307243347
1,54,30,0,-3.741854667663574,-0.35350707173347473
1,55,30,0,-3.317019462585449,-0.015676269307732582
1,56,30,0,-2.864657163619995,0.23453979194164276
1,57,30,0,-2.480299711227417,0.396484375
1,58,30,0,-1.8443900346755981,0.561541736125946
1,59,30,0,-1.1673189401626587,0.6047875881195068
1,60,30,0,-0.4618697166442871,0.51629638671875
1,61,30,0,0.34640151262283325,0.2373998910188675
1,62,30,0,1.150606632232666,-0.26128172874450684
1,63,30,0,1.8622292280197144,-0.9183154106140137
1,64,30,0,2.381884813308716,-1.6222180128097534
1,65,30,0,2.859868288040161,-2.7243335247039795
1,66,30,0,3.0025863647460938,-3.5952539443969727
1,67,30,0,2.9830684661865234,-4.383044242858887
1,68,30,0,2.8142993450164795,-5.227635383605957
1,69,30,0,2.440966844558716,-6.172126293182373
1,70,30,0,2.1219069957733154,-6.724514007568359
1,71,30,0,1.310929536819458,-7.550417423248291
1,72,30,0,0.6205848455429077,-7.991567134857178
1,73,30,0,-0.33816656470298767,-8.324599266052246
1,74,30,0,-0.9046359062194824,-8.395570755004883
1,75,30,0,-1.364809274673462,-8.337658882141113
1,76,30,0,-2.1453988552093506,-8.11392593383789
1,77,30,0,-2.9046785831451416,-7.75213098526001
1,78,30,0,-3.6955082416534424,-7.117624282836914
1,79,30,0,-3.5876848697662354,-7.114216327667236
1,80,30,0,-3.577788829803467,-7.103559494018555
1,81,30,0,-3.5712873935699463,-7.094338417053223
1,82,30,0,-3.5677578449249268,-7.08624267578125
1,83,30,0,-3.5590856075286865,-7.0712571144104
1,84,30,0,-3.5521392822265625,-7.058168888092041
1,85,30,0,-3.5460777282714844,-7.034807205200195
1,86,30,0,-3.536630153656006,-7.014418601989746
1,87,30,0,-3.5288636684417725,-6.994941234588623
1,88,30,0,-3.526627779006958,-6.994064807891846
1,89,30,0,-3.526418685913086,-6.99407434463501
1,90,30,0,-3.5263426303863525,-6.994064807891846
1,91,30,0,-3.5262908935546875,-6.994052410125732
1,92,30,0,-3.5262608528137207,-6.994035720825195
1,93,30,0,-3.526252031326294,-6.994042873382568
1,94,30,0,-3.526249408721924,-6.994045257568359
1,95,30,0,-3.526247501373291,-6.99404764175415
1,96,30,0,-3.5262463092803955,-6.994050025939941
1,97,30,0,-3.5238218307495117,-6.979401588439941
1,98,30,0,-3.514641761779785,-6.96536111831665
1,99,30,0,-3.505833864212036,-6.950207233428955
1,100,30,0,-3.4999587535858154,-6.939523696899414
1,101,30,0,-3.492252826690674,-6.91875696182251
1,102,30,0,-3.4862539768218994,-6.908139705657959
1,103,30,0,-3.477800130844116,-6.892934322357178
1,104,30,0,-3.4989311695098877,-6.8502197265625
1,105,30,0,-3.6216955184936523,-6.648571491241455
1,106,30,0,-3.758370876312256,-6.401620864868164
1,107,30,0,-3.927769422531128,-5.991921424865723
1,108,30,0,-4.0110931396484375,-5.680283069610596
1,109,30,0,-4.091044902801514,-5.230162143707275
1,110,30,0,-4.1242547035217285,-4.903512001037598
1,111,30,0,-4.116684436798096,-4.429263591766357
1,112,30,0,-4.043829441070557,-3.8680737018585205
1,113,30,0,-3.8829143047332764,-3.2908153533935547
1,114,30,0,-3.691925048828125,-2.858858585357666
1,115,30,0,-3.104926109313965,-2.0401110649108887
1,116,30,0,-2.8330047130584717,-1.7772997617721558
1,117,30,0,-2.5719969272613525,-1.6028624773025513
1,118,30,0,-2.277268886566162,-1.4574559926986694
