episode_number,timestep,waypoint_x,waypoint_y,car_pos_x,car_pos_y
1,1,30,0,-0.00020599365234375,-0.0001684570306679234
1,2,30,0,-0.00020492552721407264,-0.0001745605404721573
1,3,30,0,-0.00019790648366324604,-0.00017822264635469764
1,4,30,0,-0.0001951599115272984,-0.00017944334831554443
1,5,30,0,-0.00019409178639762104,-0.00017944334831554443
1,6,30,0,-0.00019378661818336695,-0.00017944334831554443
1,7,30,0,-0.0003048705984838307,0.00022460936452262104
1,8,30,0,0.00021514891705010086,0.001290283165872097
1,9,30,0,0.0008415221818722785,0.0021655273158103228
1,10,30,0,0.025541076436638832,-0.004786376841366291
1,11,30,0,0.16987060010433197,-0.0388806127011776
1,12,30,0,0.3761497437953949,-0.07746337354183197
1,13,30,0,0.41134732961654663,-0.0771191418170929
1,14,30,0,0.4137873649597168,-0.07768066227436066
1,15,30,0,0.4158762991428375,-0.07653198391199112
1,16,30,0,0.4168606400489807,-0.07546630501747131
1,17,30,0,0.41717636585235596,-0.07555663585662842
1,18,30,0,0.43024367094039917,-0.075531005859375
1,19,30,0,0.49783462285995483,-0.09023071080446243
1,20,30,0,0.6149528622627258,-0.12308715283870697
1,21,30,0,0.7320551872253418,-0.1493237316608429
1,22,30,0,0.7502291798591614,-0.15052734315395355
1,23,30,0,0.7930506467819214,-0.15958984196186066
1,24,30,0,0.9128410220146179,-0.19725097715854645
1,25,30,0,1.029341697692871,-0.2331860363483429
1,26,30,0,1.102186918258667,-0.2462170422077179
1,27,30,0,1.1072088479995728,-0.24772582948207855
1,28,30,0,1.1094955205917358,-0.2495996057987213
1,29,30,0,1.1220290660858154,-0.25095459818840027
1,30,30,0,1.12190580368042,-0.2513976991176605
1,31,30,0,1.1218740940093994,-0.2523840367794037
1,32,30,0,1.1249581575393677,-0.2524340748786926
1,33,30,0,1.1448116302490234,-0.26060301065444946
1,34,30,0,1.251880407333374,-0.2927929759025574
1,35,30,0,1.348565697669983,-0.3065588176250458
1,36,30,0,1.4718917608261108,-0.35033202171325684
1,37,30,0,1.6083043813705444,-0.4049731492996216
1,38,30,0,1.8302050828933716,-0.5053210258483887
1,39,30,0,2.0394608974456787,-0.5809435844421387
1,40,30,0,2.2836055755615234,-0.6182470321655273
1,41,30,0,2.7349793910980225,-0.7966723442077637
1,42,30,0,3.0382325649261475,-0.9330981373786926
1,43,30,0,3.289623260498047,-0.9923437237739563
1,44,30,0,3.492853879928589,-1.0610827207565308
1,45,30,0,3.7531237602233887,-1.099035620689392
1,46,30,0,4.139495372772217,-1.121682047843933
1,47,30,0,4.387135028839111,-1.1338855028152466
1,48,30,0,4.578481197357178,-1.1807714700698853
1,49,30,0,4.985933303833008,-1.1872814893722534
1,50,30,0,5.441047191619873,-1.1744372844696045
1,51,30,0,5.6843438148498535,-1.225854516029358
1,52,30,0,5.82874059677124,-1.272621989250183
1,53,30,0,6.02587890625,-1.338936686515808
1,54,30,0,6.298200607299805,-1.3492968082427979
1,55,30,0,6.544649600982666,-1.3309496641159058
1,56,30,0,6.924318790435791,-1.3204467296600342
1,57,30,0,7.381874084472656,-1.3827710151672363
1,58,30,0,7.915194511413574,-1.3649243116378784
1,59,30,0,8.411487579345703,-1.442681908607483
1,60,30,0,9.026717185974121,-1.61724853515625
1,61,30,0,9.302566528320312,-1.716097354888916
1,62,30,0,9.771127700805664,-1.9111058712005615
1,63,30,0,9.918164253234863,-1.9816759824752808
1,64,30,0,10.14013385772705,-2.1082568168640137
1,65,30,0,10.298295974731445,-2.2032055854797363
1,66,30,0,10.524093627929688,-2.3320019245147705
1,67,30,0,10.806257247924805,-2.4053173065185547
1,68,30,0,11.013694763183594,-2.4513866901397705
1,69,30,0,11.050152778625488,-2.4650096893310547
1,70,30,0,11.179117202758789,-2.504279613494873
1,71,30,0,11.409451484680176,-2.610463857650757
1,72,30,0,11.814834594726562,-2.6950523853302
1,73,30,0,12.259238243103027,-2.7644739151000977
1,74,30,0,12.620173454284668,-2.881429433822632
1,75,30,0,13.061790466308594,-2.948270082473755
1,76,30,0,13.68212604522705,-3.2099339962005615
1,77,30,0,14.393471717834473,-3.5881762504577637
1,78,30,0,15.46225643157959,-3.8943090438842773
1,79,30,0,16.62530517578125,-4.072148323059082
1,80,30,0,17.838430404663086,-4.409318923950195
1,81,30,0,19.266469955444336,-4.686164379119873
1,82,30,0,19.03265380859375,-4.661109447479248
1,83,30,0,18.899370193481445,-4.621644020080566
1,84,30,0,18.898080825805664,-4.622945308685303
1,85,30,0,18.897584915161133,-4.626492977142334
1,86,30,0,18.897464752197266,-4.627761363983154
1,87,30,0,18.897563934326172,-4.627812385559082
1,88,30,0,18.8975772857666,-4.627833366394043
1,89,30,0,18.897600173950195,-4.627764701843262
1,90,30,0,18.90306854248047,-4.62672233581543
1,91,30,0,19.116193771362305,-4.608760833740234
1,92,30,0,19.188392639160156,-4.598010063171387
1,93,30,0,19.188554763793945,-4.595560073852539
1,94,30,0,19.18783950805664,-4.594277381896973
1,95,30,0,19.18746566772461,-4.595731258392334
1,96,30,0,19.187726974487305,-4.593841552734375
1,97,30,0,19.18767547607422,-4.594880104064941
1,98,30,0,19.187862396240234,-4.592304706573486
1,99,30,0,19.188199996948242,-4.585769176483154
1,100,30,0,19.188974380493164,-4.583331108093262
1,101,30,0,19.189393997192383,-4.581231594085693
1,102,30,0,19.186946868896484,-4.578322887420654
1,103,30,0,19.184967041015625,-4.576435565948486
1,104,30,0,19.185876846313477,-4.570286750793457
1,105,30,0,19.187358856201172,-4.564483642578125
1,106,30,0,19.187658309936523,-4.563563346862793
1,107,30,0,19.187484741210938,-4.566152095794678
1,108,30,0,19.187265396118164,-4.568741321563721
1,109,30,0,19.18706703186035,-4.570710182189941
1,110,30,0,19.186811447143555,-4.572935581207275
1,111,30,0,19.18640899658203,-4.571552753448486
1,112,30,0,19.186115264892578,-4.574374675750732
1,113,30,0,19.18579864501953,-4.5793137550354
1,114,30,0,19.186098098754883,-4.577637672424316
1,115,30,0,19.185914993286133,-4.580482006072998
1,116,30,0,19.18570327758789,-4.5832200050354
1,117,30,0,19.185443878173828,-4.584439754486084
1,118,30,0,19.185270309448242,-4.586654186248779
1,119,30,0,19.185420989990234,-4.586461067199707
1,120,30,0,19.185503005981445,-4.585460186004639
2,1,30,0,0.0,0.0
2,2,30,0,-9.323119593318552e-05,0.00015014648670330644
2,3,30,0,-0.00016021728515625,0.00026000975049100816
2,4,30,0,-0.00017257689614780247,0.0002673339913599193
2,5,30,0,-0.00017700194439385086,0.00023803710064385086
2,6,30,0,-0.0001799011224647984,0.00020874022447969764
2,7,30,0,-0.00018081664165947586,0.00021118164295330644
2,8,30,0,-0.00018096923304256052,0.00021118164295330644
2,9,30,0,0.01616012491285801,0.0012194823939353228
2,10,30,0,0.14639785885810852,0.02874145470559597
2,11,30,0,0.4532148540019989,0.10538817942142487
2,12,30,0,0.7713800072669983,0.17537963390350342
2,13,30,0,1.0853537321090698,0.18254637718200684
2,14,30,0,1.6500802040100098,0.19041259586811066
2,15,30,0,2.084294319152832,0.21609008312225342
2,16,30,0,2.559903144836426,0.1894274801015854
2,17,30,0,3.0613646507263184,0.12005248665809631
2,18,30,0,3.7978105545043945,-0.03699585050344467
2,19,30,0,4.387050151824951,-0.2146349996328354
