episode_number,timestep,waypoint_x,waypoint_y,car_pos_x,car_pos_y
1,1,30,0,-0.00021194457076489925,-0.0001208496032631956
1,2,30,0,-0.007195129059255123,-0.0012670898577198386
1,3,30,0,-0.1471330225467682,-0.0382702611386776
1,4,30,0,-0.24554000794887543,-0.07212036103010178
1,5,30,0,-0.24589140713214874,-0.07084960490465164
1,6,30,0,-0.24621443450450897,-0.07120971381664276
1,7,30,0,-0.28800293803215027,-0.09499023109674454
1,8,30,0,-0.2899896204471588,-0.09633422642946243
1,9,30,0,-0.2901129126548767,-0.09642577916383743
1,10,30,0,-0.2901438772678375,-0.09649658203125
1,11,30,0,-0.2671446204185486,-0.08474487066268921
1,12,30,0,-0.08357543498277664,-0.008975829929113388
1,13,30,0,0.2378465235233307,0.12946288287639618
1,14,30,0,0.4174298048019409,0.21361571550369263
1,15,30,0,0.5901809334754944,0.32195189595222473
1,16,30,0,0.7429088950157166,0.4255383312702179
1,17,30,0,0.7699360251426697,0.43974852561950684
1,18,30,0,0.7734667658805847,0.44266477227211
1,19,30,0,0.7740967869758606,0.44361448287963867
1,20,30,0,0.7741183042526245,0.4437268078327179
1,21,30,0,0.7741588950157166,0.44376951456069946
1,22,30,0,0.7741734385490417,0.4437792897224426
1,23,30,0,0.7815513610839844,0.46067747473716736
1,24,30,0,0.779836118221283,0.4677489995956421
1,25,30,0,0.8499673008918762,0.5254406332969666
1,26,30,0,1.0687835216522217,0.7051367163658142
1,27,30,0,1.3800923824310303,1.0438060760498047
1,28,30,0,1.6052322387695312,1.336885929107666
1,29,30,0,1.813122272491455,1.7314269542694092
1,30,30,0,2.008349657058716,2.1829662322998047
1,31,30,0,2.277217149734497,2.599294424057007
1,32,30,0,2.648355722427368,3.1862781047821045
1,33,30,0,2.916893243789673,3.757585287094116
1,34,30,0,3.0465500354766846,4.155206203460693
1,35,30,0,3.202442169189453,4.617593765258789
1,36,30,0,3.3281261920928955,5.038456439971924
1,37,30,0,3.598088264465332,5.683988571166992
1,38,30,0,3.7913970947265625,6.040599822998047
1,39,30,0,3.908635139465332,6.347609519958496
1,40,30,0,3.9004955291748047,6.364511013031006
1,41,30,0,3.83200740814209,6.282576560974121
1,42,30,0,3.7539775371551514,6.091223239898682
1,43,30,0,3.74350643157959,6.0438456535339355
1,44,30,0,3.7274205684661865,5.904692649841309
1,45,30,0,3.6648552417755127,5.747461795806885
1,46,30,0,3.6185014247894287,5.595270156860352
1,47,30,0,3.5856847763061523,5.453258037567139
1,48,30,0,3.5648345947265625,5.382258892059326
1,49,30,0,3.5598809719085693,5.372825622558594
1,50,30,0,3.602982759475708,5.472480773925781
1,51,30,0,3.644667863845825,5.5127081871032715
1,52,30,0,3.76705002784729,5.61444616317749
1,53,30,0,3.764652729034424,5.622369289398193
1,54,30,0,3.7579240798950195,5.628920555114746
1,55,30,0,3.7529075145721436,5.635802268981934
1,56,30,0,3.7415826320648193,5.646597862243652
1,57,30,0,3.7372729778289795,5.652679443359375
1,58,30,0,3.7323882579803467,5.659949779510498
1,59,30,0,3.7271392345428467,5.666175842285156
1,60,30,0,3.722322940826416,5.672180652618408
1,61,30,0,3.719306468963623,5.6621012687683105
1,62,30,0,3.6819329261779785,5.5386962890625
1,63,30,0,3.615863561630249,5.3990702629089355
1,64,30,0,3.606027126312256,5.404755115509033
1,65,30,0,3.6431052684783936,5.529831886291504
1,66,30,0,3.685786724090576,5.704403400421143
1,67,30,0,3.6836631298065186,5.707339763641357
1,68,30,0,3.679333448410034,5.713902473449707
1,69,30,0,3.676382303237915,5.718002796173096
1,70,30,0,3.640261173248291,5.590114593505859
1,71,30,0,3.5752575397491455,5.440951824188232
1,72,30,0,3.517544746398926,5.309970378875732
1,73,30,0,3.410270929336548,5.1045451164245605
1,74,30,0,3.264103651046753,4.8956708908081055
1,75,30,0,3.1465275287628174,4.751225471496582
