episode_number,total_reward,collisions,trajectory_distance,goal_distance
1,-72.2389509677887,80,13.455799163790415,19.325812668607202
2,415.555545091629,25,13.648693461645571,19.6862788866113
3,-15.840944528579712,80,15.262644217818577,17.34296910921396
4,424.0348253250122,27,14.579051011188723,18.03551686293691
5,708.5790555477142,0,21.00436329599596,9.967005706151474
6,0.7941441535949707,53,5.998459155717418,26.061600110004182
7,459.649729013443,12,13.9580336149552,19.148550162539895
8,297.655636548996,29,13.727653570405318,19.112651420428605
9,252.86516427993774,40,12.55606560452812,20.13361478390473
10,522.754781961441,0,7.998823575750035,26.36266222150555
11,430.8195276260376,11,12.11530107924967,20.548646772384263
12,600.6459250450134,0,13.278995801815174,18.301075967586193
13,553.0579726696014,0,10.356451581304043,20.29502978739896
14,532.6816991567612,17,18.960531304221973,13.906151342526966
15,650.5583250522614,5,21.70780464621939,13.685707753051691
16,699.982607126236,0,22.076602070849347,11.927556773772432
17,-187.61590194702148,86,11.037883343139914,21.24652956719455
18,33.66174793243408,52,6.952611736958027,24.601107625011192
19,612.320220708847,0,17.372593957179962,13.978236990610686
20,896.4405121803284,0,21.4587924961963,9.995907946618923
21,512.161961555481,0,8.170064975351783,24.129624543585468
22,444.7973692417145,4,7.404506380840768,24.24726385335427
23,685.3992290496826,8,16.23491722821353,17.123061613340713
24,506.9096884727478,0,6.243650500071232,24.38555410170092
25,291.7744288444519,38,25.393437346445808,19.040226902263377
26,113.61826682090759,49,35.542609968598704,22.12187539372123
27,552.1597838401794,0,9.96998654326779,20.947284338794283
28,642.3651678562164,0,33.7804605423406,16.577975079741705
29,724.8975670337677,0,18.483781888456843,13.084068744909423
30,667.0044572353363,0,48.91520483834695,16.827063955524235
31,612.5103261470795,0,17.929140152781848,15.269344678628334
32,650.7402978539467,12,20.87647847632534,11.607787362631287
33,592.829193353653,0,14.019982926117033,17.862098835817974
34,103.21575617790222,51,35.939667082447585,22.430985225233236
35,686.6200627088547,3,42.855895825307336,11.152494424427603
36,577.6207513809204,0,54.411305529358806,22.69704003860839
37,671.0727132558823,3,34.6153670478467,15.869232775370415
38,592.679979801178,0,14.234408541901995,17.71323418362631
39,1023.6356108188629,0,49.086046283617534,8.76753683924666
40,646.0484488010406,0,55.2401571708309,19.98924571692759
41,533.7601938247681,10,11.899548383428055,20.48957191474762
42,696.8339076042175,0,21.896296411346658,9.612916971347246
43,656.9426407814026,0,17.763319269099558,13.443638521221875
44,635.4819421768188,0,11.764365968650285,19.005105192108903
45,669.4704866409302,0,14.261094984290473,17.74586333077982
46,-13.6157968044281,69,11.640366539018036,21.317325188811502
47,221.30191922187805,44,33.319628812974386,19.268084254001653
48,778.6072230935097,8,23.81155381258513,10.214258297728646
49,799.1723790168762,0,64.34705610981106,9.728232378961787
50,700.7790396213531,0,59.30943997174654,15.141917662415182
51,922.6636383533478,0,24.2083650673431,11.402920853433267
52,610.3664281368256,0,53.32189927858351,16.13645640785325
53,-68.80443549156189,57,5.918742749139755,26.258097368197184
54,-44.52930283546448,59,6.268531440748994,25.126391923375326
55,-190.64958596229553,73,16.970232229178503,25.70623902631339
56,-208.84822702407837,72,5.933312113552137,26.16684385241839
57,579.6223514080048,0,11.934754915728034,19.799512266552423
58,-123.62865710258484,63,26.386473828963602,26.074534602048733
59,173.79631423950195,46,10.548760885421792,21.820645452377455
60,458.5761032104492,12,32.78565641461952,20.034256035987283
61,674.2781548500061,0,16.264090549726863,14.59968626319529
62,679.0190606117249,0,18.626742501960667,12.919625775617801
63,394.8764269351959,31,13.198896913652439,19.5242353245671
64,561.5731275081635,9,14.264307457938216,18.145995908469192
65,317.0129613876343,32,13.194688674681455,20.508177210027668
66,474.5036141872406,0,6.466376358892432,27.816330252157133
67,447.9444947242737,6,7.360212785528342,26.47671282932728
68,471.3717589378357,0,4.009017468480291,26.515929132760753
69,-286.1731379032135,82,5.768469786898935,25.981700997231965
70,83.11047077178955,43,6.0557868327160485,25.65547368248894
71,-283.9718773365021,82,16.716331189152296,25.568113237117792
72,731.2337968349457,0,23.204810313392095,9.782805722511194
73,79.95083498954773,56,13.341913355588046,22.23889899177539
74,478.9452130794525,17,33.24767952545522,21.777339909121174
75,558.5865218639374,0,30.241593179041292,20.87437430359134
76,377.5965096950531,23,14.301084823653955,20.036631127432454
77,535.193393945694,13,36.743565031347295,19.541268119431173
78,675.0492265224457,10,17.51625935753414,16.46808095805441
79,41.170865058898926,59,40.08174944257996,22.003393999807844
80,464.3796577453613,13,15.728217708783617,17.114248067158695
81,596.23943567276,0,11.835264982457627,20.25828984021049
82,594.1707870960236,0,34.088135994902466,19.107001321283317
83,601.6046795845032,0,14.2370869124212,16.808280079032198
84,-212.9679832458496,89,10.982603562802893,21.599205571358446
85,274.8757815361023,37,32.55338160042575,19.446303106191024
86,-44.46575903892517,63,10.53359893852061,21.859940333641113
87,-290.14964485168457,84,5.832706360399867,25.583390373980546
88,197.69377207756042,44,24.73688509635604,20.544701122375546
89,263.9710319042206,26,7.830183009396792,25.944988573789384
90,641.875105381012,0,30.678012938299904,15.113723611322893
91,431.06899742782116,35,53.22760312622716,10.41438830122219
92,643.3089218139648,0,12.789479108445914,17.96997816978333
93,346.03937125205994,43,17.443527036279715,16.95548977558425
94,556.7555792331696,2,41.855787794688716,22.720629587051285
95,798.6041986942291,0,40.482518795409355,9.872746451931343
96,441.7322449684143,14,51.96151430163878,21.035843947285624
97,551.99560379982,1,12.807914525903788,19.32297942186188
98,84.25426244735718,43,30.328040053406323,25.640193071949213
99,128.13974618911743,39,19.397086719959535,24.938770342285068
100,-166.59536218643188,70,6.112863054717115,25.672461790030322
